
2025-10-02 23:45:29,Hanoi,25.2,86,Clouds,3.17,2,302.72,0.06,4.37,7.89,1.28,15.52,21.08
2025-10-02 23:45:29,Danang,26.78,85,Clouds,2.28,2,271.64,0,5.73,50.69,1.82,10.07,11.43

2025-10-03 01:47:39,Hanoi,25.98,88,Clouds,3.01,2,285.26,0.1,3.55,5.26,0.97,15.12,19.53
2025-10-03 01:47:39,Danang,25,94,Clouds,0.51,1,246.73,0,4.14,46.2,1.42,9.7,10.91

2025-10-03 03:35:36,Hanoi,24.44,90,Clouds,2.31,2,272.68,0.1,3.22,5.09,0.89,15.33,19.04
2025-10-03 03:35:36,Danang,25.37,91,Clear,2.28,1,225.83,0,2.92,44.83,1.18,9.57,10.68

2025-10-03 05:33:27,Hanoi,24.98,92,Clouds,1.89,2,265,0.08,3.12,7.27,1,15.29,18.89
2025-10-03 05:33:27,Danang,25,94,Clouds,0.51,1,217.99,0,2.57,47.35,1.13,8.78,9.84

2025-10-03 10:07:14,Hanoi,29.94,63,Clouds,2.12,2,272.67,0.98,2.56,28.19,2.08,18.67,23.35
2025-10-03 10:07:14,Danang,30.97,72,Clouds,1.39,1,251.53,0.31,4.45,57.69,1.57,9.3,10.44

2025-10-03 11:39:23,Hanoi,31.98,59,Clouds,2.08,2,174.67,0.16,0.74,56.37,1.32,13.48,15.47
2025-10-03 11:39:23,Danang,29,74,Clouds,2.06,1,224.4,0.12,3.23,46.93,1.09,8.99,9.9

2025-10-03 13:50:01,Hanoi,32.68,53,Clear,2.9,2,170.17,0.17,0.8,66.8,1.63,16.18,18.33
2025-10-03 13:50:01,Danang,31.47,69,Clouds,2.68,1,216.68,0.08,3.67,44.87,1.09,7.52,8.27

2025-10-03 15:44:35,Hanoi,31.97,55,Clear,3.37,2,173.82,0.2,1.32,72.01,2.13,17.86,20.48
2025-10-03 15:44:35,Danang,30.2,74,Clouds,2.96,1,234.38,0.19,4.7,38.15,1.16,7.15,7.94

2025-10-03 17:38:19,Hanoi,31.98,64,Clear,3.47,2,217.43,0.04,4.06,54.23,2.64,18.72,22.73
2025-10-03 17:38:19,Danang,30,70,Clouds,2.57,1,275.67,0.02,8.03,36.81,1.68,7.49,8.47

2025-10-03 20:17:04,Hanoi,27.09,81,Clear,3.62,2,274.74,0,6.05,31.5,2.49,17.88,24.1
2025-10-03 20:17:04,Danang,28.35,74,Clouds,1.11,1,252.51,0,8.25,23.19,1.7,6.78,7.75

2025-10-03 21:37:50,Hanoi,27.98,85,Clear,2.85,2,339.13,0.04,6.51,13.81,2.01,20.23,29.03
2025-10-03 21:37:50,Danang,29,79,Clouds,1.03,1,259.38,0,8.36,21.57,1.58,6.26,7.32

2025-10-03 23:42:52,Hanoi,26.98,89,Clear,2.18,2,355.19,0.15,5.77,6.25,1.4,21.16,29.59
2025-10-03 23:42:52,Danang,27,89,Clouds,1.03,1,263.12,0,8.07,20.73,1.42,5.92,6.83

2025-10-04 01:47:22,Hanoi,25.18,88,Clear,1.72,2,347.15,0.26,4.68,3.51,0.92,21.64,28.69
2025-10-04 01:47:22,Danang,25.43,92,Clouds,2.43,1,255.74,0,6.97,21.1,1.12,5.78,6.51

2025-10-04 03:33:54,Hanoi,25.98,89,Clear,0.97,2,335.49,0.52,3.8,3.22,0.81,22.25,28.21
2025-10-04 03:33:54,Danang,26,89,Clouds,0,1,243.54,0,5.68,21.65,0.88,5.74,6.39

2025-10-04 05:32:11,Hanoi,24.73,92,Clear,1.1,2,321.16,0.71,3.09,6.99,0.9,22.05,27.55
2025-10-04 05:32:11,Danang,25.13,88,Clouds,1.22,1,224.4,0,4.04,16.3,0.53,5.51,6.1

2025-10-04 10:00:29,Hanoi,30.19,71,Clouds,0.54,3,304.55,0.77,2.45,38.67,1.57,26.77,32.39
2025-10-04 10:00:29,Danang,30.21,70,Clouds,1.68,1,191.1,0.3,1.61,30.25,0.31,3.94,4.37

